"","source","Df","SSQrel","R2","F.Model","pv"
"1","exp.condition",2,3.51839471789126,0.0351839471789126,3.01668107308367,0.000999000999000999
"2","day",1,25.3365048913741,0.253365048913741,43.4471745738122,0.000999000999000999
"3","Residuals",122,71.1451003907346,0.711451003907346,NA,NA
"4","Total",125,100,1,NA,NA
