"","source","Df","SSQrel","R2","F.Model","pv"
"1","exp.condition",2,3.60082294858394,0.0360082294858394,3.54030169654434,0.000999000999000999
"2","day",1,34.3563855915754,0.343563855915754,67.5578732605104,0.000999000999000999
"3","Residuals",122,62.0427914598407,0.620427914598407,NA,NA
"4","Total",125,100,1,NA,NA
