	domain	phylum	class	order	family	genus	species
ASV_21713	Bacteria	Myxococcota	Myxococcia	Myxococcales	Anaeromyxobacteraceae	Anaeromyxobacter	NA
ASV_21714	Bacteria	Chloroflexi	Anaerolineae	Caldilineales	Caldilineaceae	NA	NA
ASV_21715	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	NA	NA
ASV_21716	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Blastopirellula	NA
ASV_21717	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	NA	NA
ASV_21718	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	NA	NA
ASV_21719	Bacteria	Cyanobacteria	Cyanobacteriia	NA	NA	NA	NA
ASV_21720	Archaea	Halobacterota	Methanosarcinia	Methanosarciniales	Methanosaetaceae	Methanosaeta	NA
ASV_21721	Bacteria	Halanaerobiaeota	Halanaerobiia	Halanaerobiales	Halanaerobiaceae	Halocella	NA
ASV_21722	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Roseimaritima	NA
ASV_21723	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Chloroflexaceae	Chloronema	NA
ASV_21724	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	NA	NA
ASV_21725	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellula	NA
ASV_21726	Bacteria	NA	NA	NA	NA	NA	NA
ASV_21727	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	NA	NA	NA
ASV_21728	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Gemmata	NA
ASV_21729	Bacteria	Myxococcota	Polyangia	Nannocystales	Nannocystaceae	NA	NA
ASV_21730	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02	NA
ASV_21731	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	NA	NA
ASV_21732	Bacteria	Myxococcota	Myxococcia	Myxococcales	Vulgatibacteraceae	Vulgatibacter	NA
ASV_21733	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cytophagaceae	Rhodocytophaga	NA
ASV_21734	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	NA	NA	NA
ASV_21735	Bacteria	Gemmatimonadota	S0134 terrestrial group	NA	NA	NA	NA
ASV_21736	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	NA	NA
ASV_21737	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	NA	NA	NA
ASV_21738	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium	NA
ASV_21739	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium	NA
ASV_21740	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	Nitrosospira	NA
ASV_21741	Bacteria	Proteobacteria	Alphaproteobacteria	Defluviicoccales	Defluviicoccaceae	Defluviicoccus	NA
ASV_21742	Bacteria	Gemmatimonadota	Longimicrobia	Longimicrobiales	Longimicrobiaceae	Longimicrobium	NA
ASV_21743	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	NA	NA
ASV_21744	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	NA	NA	NA
ASV_21745	Bacteria	Bacteroidota	Kapabacteria	Kapabacteriales	NA	NA	NA
ASV_21746	Bacteria	Gemmatimonadota	S0134 terrestrial group	NA	NA	NA	NA
ASV_21747	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	NA	NA
ASV_21748	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	GW2011_GWC1_47_15	NA	NA
ASV_21749	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	NA	NA
ASV_21750	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	Vitiosangium	NA
ASV_21751	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	NA
ASV_21752	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Niveibacterium	NA
ASV_21753	Bacteria	Myxococcota	Myxococcia	Myxococcales	Anaeromyxobacteraceae	Anaeromyxobacter	NA
ASV_21754	Bacteria	Chloroflexi	Ktedonobacteria	C0119	NA	NA	NA
ASV_21755	Bacteria	Myxococcota	Myxococcia	Myxococcales	Vulgatibacteraceae	Vulgatibacter	NA
ASV_21756	Bacteria	Bacteroidota	Rhodothermia	Rhodothermales	Rhodothermaceae	NA	NA
ASV_21757	Bacteria	Gemmatimonadota	Longimicrobia	Longimicrobiales	Longimicrobiaceae	Longimicrobium	NA
ASV_21758	Bacteria	Chloroflexi	NA	NA	NA	NA	NA
ASV_21759	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Anaerolinea	NA
ASV_21760	Bacteria	Patescibacteria	Kazania	NA	NA	NA	NA
ASV_21761	Bacteria	Myxococcota	Polyangia	Polyangiales	Sandaracinaceae	NA	NA
ASV_21762	Bacteria	Chloroflexi	Anaerolineae	SBR1031	NA	NA	NA
ASV_21763	Bacteria	Proteobacteria	Alphaproteobacteria	Tistrellales	Geminicoccaceae	NA	NA
ASV_21764	Bacteria	Desulfobacterota	Syntrophobacteria	Syntrophobacterales	Syntrophobacteraceae	Desulfovirga	NA
ASV_21765	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	NA	NA	NA
ASV_21766	Bacteria	Patescibacteria	Berkelbacteria	NA	NA	NA	NA
ASV_21767	Bacteria	Myxococcota	Myxococcia	Myxococcales	Anaeromyxobacteraceae	Anaeromyxobacter	NA
ASV_21768	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	NA
ASV_21769	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV_21770	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup 10	NA
ASV_21771	Bacteria	Entotheonellaeota	Entotheonellia	Entotheonellales	Entotheonellaceae	NA	NA
ASV_21772	Bacteria	Nitrospirota	Thermodesulfovibrionia	NA	NA	NA	NA
ASV_21773	Bacteria	Planctomycetota	OM190	NA	NA	NA	NA
ASV_21774	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	NA	NA	NA
ASV_21775	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	Hassallia	NA
ASV_21776	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	NA
ASV_21777	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	NA	NA	NA
ASV_21778	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Spirochaeta	NA
ASV_21779	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	NA	NA	NA
ASV_21780	Bacteria	Bacteroidota	Bacteroidia	NA	NA	NA	NA
ASV_21781	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101 soil group	NA	NA
