	1	10	100	101	102	103	105	106	107	108	109	11	110	111	112	113	114	115	116	117	118	119	12	120	121	122	123	124	125	126	127	128	129	13	130	131	132	133	134	135	136	137	138	139	14	140	141	142	143	15	16	17	18	19	2	20	21	22	23	24	25	26	27	28	29	3	30	31	32	33	34	35	36	37	38	4	40	41	42	43	44	45	46	47	48	49	5	50	51	52	53	54	55	56	57	58	59	6	60	61	62	63	64	66	67	68	69	7	70	71	72	73	74	75	76	77	78	79	8	80	81	82	83	84	85	86	87	88	89	9	90	91	92	93	94	95	96	97	98	99
ASV_1	245443	138	201960	83872	386434	162329	63741	168558	101574	31932	73308	39675	92705	20826	34457	91448	77980	77054	87625	62	153162	33106	63719	114856	225979	185119	153447	105637	81118	60382	63491	57193	76784	0	88	150087	77624	44710	41020	92600	67358	33090	28310	42770	57636	55	18914	40513	59	45863	27325	13134	10207	24008	119828	25862	55638	95493	34666	54800	61761	34	135792	47937	114999	110636	34032	80548	82838	83135	84386	1223	56651	74222	62531	136841	35490	962	5983	4943	11206	60809	34003	45366	62527	3499	726	9383	67671	50	40393	75580	37638	90209	178882	79977	83695	215009	100705	153227	130059	85518	127221	196232	61278	57103	49016	735	159493	190589	100670	237312	54803	68761	51654	62134	56	47796	317876	11907	17669	9688	174384	122214	131213	135823	125466	146604	170545	290484	111961	147	133765	140687	144	132837	93517	192812	154825	214816
ASV_2	9898	0	51471	9294	17699	225	44340	38935	4824	25793	51288	3629	55608	13236	51226	12954	15679	13301	24504	26	18910	86612	4246	2186	14037	12261	42761	23746	37984	29634	48203	30677	24728	2	36	30572	11216	21642	27557	22130	63167	38219	37925	12985	38598	45	10694	32580	20	12172	39666	23046	18649	14332	17333	15531	31722	47531	14454	34096	28120	20	51902	21264	37799	6374	29204	55887	83662	26259	100714	350	57173	55040	34060	5197	103894	28132	21060	12237	27793	35419	13541	52990	20948	96307	47	28	6558	23	91109	35644	5639	23889	56599	34000	25299	20728	27721	44316	26319	19372	39337	8486	17599	12323	11765	228	73118	45363	17027	52120	13082	25529	16734	7324	53	31528	36703	5458	2395	7362	59174	33742	47855	54353	16297	47045	98190	12682	44265	34	68526	15118	92	18402	15752	43342	79079	10581
ASV_3	6042	14	48153	11543	28529	5850	12131	6380	44721	33331	24565	2999	29606	4453	25241	20181	5157	14949	25124	7	7464	9028	4119	3290	8140	15756	21329	7762	9257	23328	13924	7999	16606	0	39	15142	4593	33191	17627	14108	48565	76948	55970	4897	33209	18	2310	21446	12	15713	11258	8617	5036	4279	9243	6525	5024	24447	4099	8890	6263	0	16580	10797	13311	10315	5040	16983	41089	22252	32229	371	25799	33607	14612	2900	59797	15832	7629	9078	13243	39749	21185	10905	21584	24398	21	1892	19986	6	64593	12804	2852	6829	14734	11564	13667	15585	8957	52008	8233	25991	59977	9697	2036	15820	3938	104	21361	22951	12385	28675	4641	9040	14306	15683	16	14142	39609	681	3929	5206	12455	20993	21435	24714	8401	10406	19758	22757	24097	19	15754	571	59	13524	4813	13566	17047	21131
ASV_4	6475	0	8590	4065	34215	1813	21280	8044	4145	17707	5943	1230	7721	1384	17910	7576	3124	11592	13732	4	4147	50977	2400	2865	6757	4788	9887	4495	2863	13993	22535	47917	5803	0	0	8267	11332	10187	5568	5278	8786	17455	14848	2409	28809	0	6134	10079	0	10229	7332	6681	4186	5551	11818	4104	9600	16679	2979	4747	4936	0	7637	4257	5487	2532	4827	7810	19432	5511	20151	140	10127	13135	6464	2473	61877	23251	19591	12586	25303	11612	5572	8022	5060	67295	0	422	3032	4	33995	5792	1357	3614	9164	3923	2774	8616	5188	4762	2980	8419	5339	10792	6400	4450	3314	33	8848	9899	2589	4840	4619	4550	6295	3870	10	17224	15306	2160	1026	1575	7005	8109	3116	6678	2503	6174	11771	8583	6594	9	17693	3376	23	2251	2100	4677	12891	8347
ASV_5	10625	0	966	1266	16974	1807	43491	13169	182	47255	6177	1083	9115	688	34013	521	1648	8654	14348	0	11066	7854	1604	97	25016	3963	5310	265	34762	655	2548	5141	30342	0	6	11470	2502	3467	17525	8427	6922	1237	46678	315	18914	10	1035	28957	0	8024	5417	4731	3708	3571	7120	2984	5387	13076	2981	4144	5109	0	6473	3463	3485	1822	4598	6369	14771	2441	8914	63	6019	4333	1200	2038	10232	1349	139	1042	2112	2419	678	1766	7007	10291	9	153	1515	4	12665	1597	30	1331	4094	2375	865	6142	4919	9617	2453	8979	6434	10886	1044	113	954	0	2729	5870	1827	5474	637	829	17197	3428	11	31079	5843	322	15	1298	4476	3969	3606	7995	582	1316	31073	5525	6522	7	116025	2542	23	8512	1290	4382	3472	15958
ASV_6	463	0	13405	709	4772	320	20838	4827	14490	4835	5139	28	4005	1297	3370	2228	2406	1873	3083	0	916	25954	53	8581	1025	5615	9637	8384	719	23035	17539	22129	788	0	0	1722	8124	10755	1737	5055	4723	9529	1710	3961	586	0	2160	1085	0	95	232	134	49	36	275	101	68	962	27	321	311	0	110	47	1591	0	84	183	284	259	204	218	150	3753	982	90	9993	1286	7256	2565	2057	420	1578	661	4626	9387	0	264	1137	0	9341	1134	1678	1581	2807	425	537	190	666	4646	797	2953	1830	2087	1900	5740	1427	8	3722	2077	689	531	5439	2473	1691	1108	7	3538	152	693	2709	985	3920	1689	1619	1840	4931	3856	6015	103	2655	0	4916	956	0	516	1139	1671	10911	636
ASV_7	1567	0	2350	577	1480	284	16272	8176	6102	10660	2267	137	2170	882	1349	1190	891	804	146	0	815	21235	397	506	951	179	505	750	711	4339	3807	13597	218	0	0	897	3140	2800	1911	51	953	3033	2270	772	8394	0	1233	291	0	1559	1734	2054	1652	1080	2527	1044	3991	9229	1161	2936	3260	0	2601	810	2261	465	2816	3214	3739	2090	5347	38	1956	2775	914	478	16387	7142	12730	2652	5423	3320	2812	1351	3264	12044	4	53	996	0	12601	4175	1607	2168	5327	1272	2290	1143	2390	2989	1884	205	2118	1556	6464	4115	498	8	1123	2595	724	1376	2355	1334	2990	834	0	4297	1521	1558	978	717	2542	2587	1401	2129	2065	3032	8781	1605	2795	0	24531	1144	0	1419	411	782	5609	642
ASV_8	20902	0	0	0	23	0	0	0	23	131	0	1987	1379	33	0	0	0	0	0	0	0	0	3130	0	113	23	744	13	0	0	20	0	17	0	0	0	0	25	82	79	721	24	0	0	32413	0	0	0	0	12313	5375	8214	5859	5991	9228	2827	12028	14628	5209	4939	4616	0	14162	6900	4496	3523	8135	14190	24539	3641	22737	70	15042	5195	1600	3964	6464	1170	138	507	989	3737	174	648	208	2741	19	21	98	15	3813	1175	37	345	1114	1300	171	13803	867	187	467	362	360	147	22	23	40	83	106	4190	214	230	0	30	315	26	0	41	18654	21	0	58	152	2156	490	314	0	47	252	13763	21	0	0	27	23	118	0	1114	163	72
ASV_9	1054	0	10401	1716	3888	1813	682	838	5701	2661	4804	199	2352	335	2321	4842	1275	863	3886	0	232	1034	343	679	430	1617	1062	616	697	3127	2845	818	537	0	0	468	297	4161	666	1633	762	1993	1153	1308	5771	5	100	685	0	1754	1586	1594	1388	1632	784	642	1996	3877	1067	1174	1293	0	2688	1082	1260	655	1529	2355	4494	1095	3120	14	2466	1517	729	498	3044	1491	190	76	367	4942	2336	1670	2284	3326	0	251	3260	0	5471	3825	68	411	994	1892	2066	1679	3545	2663	1102	4094	5521	3302	880	2943	543	17	1628	5471	1392	4375	1075	928	3204	5158	0	2076	2645	274	628	665	1778	2765	1931	3674	759	1392	3660	1833	5978	0	1684	480	9	2488	1363	1815	1487	5010
